Time	L_BF	L_GAL	L_TA	L_VL	R_BF	R_GAL	R_TA	R_VL
0	0.005023	0.00106	-0.024161	-0.001379	0.003168	0.005061	0.002919	0.003573
0.0005	0.004248	-0.000359	-0.006673	-0.003818	0.003985	0.005949	0.002706	0.00605
0.001	0.00308	-0.001598	0.010641	-0.007219	0.005169	0.001439	0.00382	0.007227
0.0015	0.001863	-0.001223	0.028349	-0.00816	0.004781	-0.00762	0.00515	0.007017
0.002	0.001744	0.000465	0.047499	-0.000465	0.001991	-0.016757	0.004753	0.006205
0.0025	0.004314	0.001529	0.060767	0.016788	3.8e-05	-0.023094	0.002892	0.005282
0.003	0.008803	0.00101	0.056885	0.037652	0.001815	-0.027687	0.001543	0.004219
0.0035	0.011026	-0.000528	0.040416	0.05534	0.004952	-0.034497	0.001009	0.003431
0.004	0.009084	-0.00127	0.029599	0.066031	0.004779	-0.046975	-0.000282	0.00328
0.0045	0.007462	5e-05	0.032527	0.068175	0.001746	-0.063506	-0.003151	0.002595
0.005	0.010785	0.001864	0.040285	0.062822	0.000439	-0.076208	-0.006692	0.001805
0.0055	0.016941	0.001703	0.042991	0.055299	0.001483	-0.076059	-0.009497	0.003655
0.006	0.021204	0.000164	0.041165	0.050092	0.00215	-0.060572	-0.01151	0.007283
0.0065	0.022307	-0.000287	0.040113	0.046387	0.001979	-0.039815	-0.013645	0.009707
0.007	0.021193	0.001255	0.039395	0.0417	0.002072	-0.028997	-0.015803	0.010602
0.0075	0.01893	0.004243	0.032348	0.034493	0.002374	-0.030865	-0.016437	0.009965
0.008	0.015712	0.007126	0.015966	0.024419	0.002259	-0.035029	-0.014227	0.00748
0.0085	0.010557	0.007714	-0.003224	0.013125	0.002025	-0.033105	-0.010042	0.004798
0.009	0.004554	0.005284	-0.015965	0.003109	0.001882	-0.024366	-0.006021	0.004428
0.0095	0.000841	0.001633	-0.019954	-0.004661	0.001336	-0.00947	-0.002939	0.006401
0.01	0.000352	-0.001366	-0.019406	-0.010764	0.001075	0.011368	-0.000224	0.00831
0.0105	0.001245	-0.003553	-0.018742	-0.015509	0.002242	0.030685	0.002001	0.008379
0.011	0.001369	-0.004558	-0.024091	-0.019348	0.003296	0.035332	0.002504	0.005671
0.0115	0.0004	-0.004168	-0.045312	-0.023887	0.001834	0.023636	0.000631	0.000694
0.012	-0.00134	-0.003691	-0.082436	-0.0289	-0.000919	0.009492	-0.002133	-0.003125
0.0125	-0.004688	-0.003189	-0.115441	-0.030418	-0.002276	0.005154	-0.003371	-0.003207
0.013	-0.009625	-0.001241	-0.12272	-0.025966	-0.001587	0.00937	-0.002927	-0.002021
0.0135	-0.015278	0.00131	-0.10857	-0.019437	0.001158	0.013927	-0.002469	-0.004017
0.014	-0.02132	0.001911	-0.102227	-0.017297	0.003959	0.0178	-0.002183	-0.008211
0.0145	-0.025579	0.000884	-0.125322	-0.023536	0.00334	0.029231	-0.001332	-0.00916
0.015	-0.024518	0.00141	-0.164966	-0.037641	0.000509	0.050378	-0.000928	-0.006135
0.0155	-0.018741	0.004617	-0.183441	-0.050813	-0.000678	0.066511	-0.003231	-0.002734
0.016	-0.013541	0.008105	-0.15045	-0.050908	1.5e-05	0.060646	-0.008722	6.4e-05
0.0165	-0.011993	0.009069	-0.064742	-0.036909	0.000424	0.037072	-0.014701	0.003541
0.017	-0.011568	0.007629	0.049194	-0.019457	-0.001021	0.019086	-0.017924	0.007071
0.0175	-0.009398	0.006774	0.160599	-0.006911	-0.004084	0.021247	-0.018035	0.007862
0.018	-0.00714	0.007489	0.245277	-0.000442	-0.006351	0.030972	-0.017649	0.005786
0.0185	-0.007482	0.007215	0.28168	0.000706	-0.005597	0.023072	-0.018782	0.004061
0.019	-0.008921	0.004504	0.25306	-0.000101	-0.002719	-0.009334	-0.01969	0.004291
0.0195	-0.007981	0.000924	0.168935	0.002312	-0.000171	-0.046088	-0.018209	0.005318
0.02	-0.004636	-0.001048	0.073009	0.005856	0.000957	-0.065576	-0.016353	0.005461
0.0205	-0.002817	-0.000175	0.012382	0.004792	0.000446	-0.070879	-0.016144	0.005019
0.021	-0.004571	0.002065	-0.000694	0.001168	-0.000783	-0.07867	-0.014545	0.005808
0.0215	-0.006213	0.002516	0.010564	-0.000114	-0.000795	-0.087455	-0.008088	0.00761
0.022	-0.003893	0.000578	0.020465	-0.000533	0.000332	-0.075734	0.002208	0.00798
0.0225	0.000338	-0.00136	0.023056	-0.003117	0.000815	-0.034368	0.013168	0.005711
0.023	0.002635	-0.002097	0.022797	-0.005902	0.000393	0.016566	0.021599	0.002814
0.0235	0.003681	-0.001817	0.019442	-0.00698	0.000818	0.049743	0.024661	0.001753
0.024	0.004884	-0.00139	0.010565	-0.007523	0.002731	0.054	0.021534	0.002318
0.0245	0.005273	-0.002382	-0.000682	-0.007739	0.004358	0.03457	0.014974	0.002475
0.025	0.00547	-0.004054	-0.008497	-0.007579	0.004434	0.007083	0.010503	0.001452
0.0255	0.005964	-0.003936	-0.011306	-0.006268	0.002965	-0.012172	0.010887	0.001042
0.026	0.005243	-0.002328	-0.012794	-0.002319	0.000313	-0.017454	0.011792	0.001431
0.0265	0.003065	-0.002502	-0.017859	0.001316	-0.001916	-0.010631	0.007569	0.000374
0.027	0.000421	-0.005344	-0.026411	0.000935	-0.002211	0.004438	-0.000237	-0.001595
0.0275	-0.001794	-0.007184	-0.031893	-0.00227	-0.001899	0.018868	-0.004559	-0.002631
0.028	-0.003553	-0.005496	-0.029658	-0.00628	-0.003321	0.02103	-0.002823	-0.003244
0.0285	-0.005852	-0.002874	-0.022765	-0.010746	-0.006199	0.007909	-7.6e-05	-0.004168
0.029	-0.009075	-0.003066	-0.016397	-0.014051	-0.00856	-0.010527	-0.000209	-0.00493
0.0295	-0.012409	-0.005321	-0.012392	-0.013771	-0.009168	-0.020288	-0.001865	-0.005217
0.03	-0.014781	-0.005958	-0.009884	-0.010691	-0.00806	-0.014526	-0.003885	-0.005289
0.0305	-0.016279	-0.005118	-0.008715	-0.007375	-0.006392	0.001286	-0.007452	-0.004725
0.031	-0.017357	-0.005555	-0.011868	-0.005129	-0.005399	0.013241	-0.013161	-0.003734
0.0315	-0.016496	-0.006448	-0.020386	-0.005238	-0.005451	0.009462	-0.018615	-0.004048
0.032	-0.011849	-0.00618	-0.02868	-0.007841	-0.006239	-0.012057	-0.019633	-0.005362
0.0325	-0.005305	-0.006403	-0.030748	-0.010762	-0.006995	-0.041325	-0.015499	-0.005574
0.033	-0.001518	-0.007417	-0.025433	-0.012557	-0.006837	-0.06005	-0.010652	-0.004343
0.0335	-0.001369	-0.006657	-0.013401	-0.013357	-0.005277	-0.05363	-0.008907	-0.002862
0.034	-0.00141	-0.004442	0.005406	-0.012594	-0.002462	-0.024486	-0.010375	-0.001487
0.0345	-0.000406	-0.003795	0.029264	-0.010033	0.000377	0.007673	-0.013948	0.000483
0.035	0.000114	-0.005162	0.053696	-0.007758	0.002047	0.022393	-0.016802	0.002425
0.0355	-0.000852	-0.006238	0.075958	-0.007335	0.003484	0.017803	-0.014896	0.002771
0.036	-0.00333	-0.005267	0.095395	-0.007387	0.005967	0.010147	-0.008215	0.001666
0.0365	-0.005475	-0.00308	0.107671	-0.005647	0.007902	0.011744	-0.000614	0.000798
0.037	-0.004332	-0.001501	0.103622	-0.002854	0.00733	0.01662	0.005351	0.000787
0.0375	0.000336	-0.000665	0.077165	-0.002182	0.005325	0.011941	0.009765	0.0005
0.038	0.005929	0.000233	0.033701	-0.002993	0.00353	-0.002144	0.013054	-0.000155
0.0385	0.010953	0.002049	-0.015081	-0.001919	0.00194	-0.010389	0.013979	-0.000191
0.039	0.01531	0.005306	-0.063352	0.00016	0.000482	-0.002055	0.011527	-0.000499
0.0395	0.017082	0.008899	-0.11139	0.000347	-0.00044	0.015236	0.008291	-0.002346
0.04	0.013845	0.011139	-0.15838	-0.000129	-0.000742	0.028729	0.007932	-0.004052
0.0405	0.007279	0.01138	-0.196204	0.001187	6e-05	0.038086	0.00999	-0.004134
0.041	0.002375	0.009917	-0.207916	0.003241	0.001698	0.048622	0.010617	-0.004588
0.0415	0.001589	0.007736	-0.183577	0.004793	0.00113	0.054222	0.007756	-0.005906
0.042	0.003253	0.006337	-0.13916	0.005398	-0.002828	0.042958	0.004295	-0.006136
0.0425	0.005258	0.006591	-0.10464	0.004114	-0.006543	0.018182	0.00506	-0.006035
0.043	0.006066	0.007105	-0.091652	0.003272	-0.007268	-0.002562	0.010245	-0.006192
0.0435	0.004731	0.006112	-0.085208	0.005749	-0.005407	-0.008565	0.014286	-0.005449
0.044	0.002869	0.004063	-0.066989	0.009762	-0.002422	-0.003649	0.01256	-0.004905
0.0445	0.002308	0.002267	-0.033715	0.012374	-0.000795	0.003068	0.006741	-0.0043
0.045	0.002145	0.00196	0.006783	0.011401	-0.000889	0.006293	0.002135	-0.001465
0.0455	0.001743	0.003137	0.045979	0.004459	0.000871	0.006047	0.00244	0.001616
0.046	0.002947	0.002893	0.080659	-0.006814	0.005695	0.004122	0.00697	0.002444
0.0465	0.006991	-0.000306	0.111338	-0.015441	0.009849	0.003182	0.011779	0.002709
0.047	0.011594	-0.002822	0.133336	-0.018082	0.010635	0.008004	0.014579	0.003163
0.0475	0.013132	-0.001113	0.133484	-0.019178	0.00884	0.019018	0.015721	0.001969
0.048	0.011094	0.002974	0.102445	-0.02244	0.005612	0.026258	0.014872	-0.000588
0.0485	0.008607	0.005658	0.049428	-0.026637	0.001618	0.021454	0.010831	-0.002326
0.049	0.007992	0.00576	-0.00201	-0.028579	-0.001534	0.011899	0.004127	-0.001418
0.0495	0.008132	0.004129	-0.032211	-0.025855	-0.002461	0.010847	-0.001818	0.002385
0.05	0.00705	0.002099	-0.036365	-0.017956	-0.001622	0.019751	-0.004138	0.005738
0.0505	0.00448	1e-05	-0.021192	-0.004728	0.000343	0.027933	-0.005046	0.006152
0.051	0.001972	-0.002372	0.003235	0.010914	0.002658	0.026034	-0.008614	0.005767
0.0515	0.000986	-0.003503	0.024837	0.021874	0.002703	0.013663	-0.01407	0.006215
0.052	0.000984	-0.002536	0.030269	0.024666	-4.3e-05	-0.003519	-0.017553	0.006568
0.0525	0.000746	-0.001419	0.014621	0.022095	-0.000886	-0.016256	-0.017838	0.006085
0.053	0.00013	-0.00087	-0.011509	0.016982	0.002713	-0.016496	-0.0159	0.005219
0.0535	-0.000685	9.4e-05	-0.029462	0.009331	0.005388	-0.009646	-0.012202	0.004975
0.054	-0.002546	0.000719	-0.028721	0.000362	0.002391	-0.01404	-0.007767	0.005262
0.0545	-0.006158	0.00026	-0.01716	-0.007416	-0.002032	-0.037095	-0.004991	0.004425
0.055	-0.009912	-0.000356	-0.014219	-0.012614	-0.001981	-0.058374	-0.004242	0.002265
0.0555	-0.011505	-0.000614	-0.032232	-0.012623	0.000767	-0.050895	-0.002623	0.001447
0.056	-0.010833	-0.000392	-0.065566	-0.00595	0.001555	-0.01542	0.001114	0.002189
0.0565	-0.009767	0.000176	-0.097176	0.003792	0.000381	0.02114	0.004246	0.001597
0.057	-0.009922	0.000324	-0.111815	0.011276	-1e-06	0.035295	0.005033	-5.4e-05
0.0575	-0.011224	-0.00079	-0.100938	0.013676	0.001444	0.025249	0.005326	-0.000902
0.058	-0.01313	-0.0029	-0.060697	0.011271	0.003844	0.006507	0.005797	-0.002548
0.0585	-0.015359	-0.003424	-0.000653	0.006821	0.00574	-0.00552	0.003801	-0.007783
0.059	-0.017156	-0.001371	0.050948	0.004901	0.005636	-0.00774	-0.002204	-0.014888
0.0595	-0.018431	0.000743	0.077396	0.00761	0.004092	-0.004652	-0.009861	-0.018956
0.06	-0.019589	0.001404	0.100829	0.011993	0.00351	0.00101	-0.014342	-0.019089
0.0605	-0.019461	0.000749	0.151416	0.014924	0.003997	0.00924	-0.013184	-0.018244
0.061	-0.017177	-0.000897	0.220416	0.015628	0.003544	0.020362	-0.010859	-0.018259
0.0615	-0.014469	-0.002813	0.266369	0.01497	0.001204	0.03305	-0.013338	-0.018065
0.062	-0.012196	-0.004185	0.254832	0.013018	-0.002991	0.042542	-0.018714	-0.016229
0.0625	-0.008651	-0.0049	0.177849	0.005408	-0.00807	0.043487	-0.020517	-0.015196
0.063	-0.004521	-0.006173	0.057619	-0.01028	-0.011005	0.035557	-0.016645	-0.017405
0.0635	-0.003114	-0.007982	-0.054601	-0.027602	-0.009284	0.024386	-0.00891	-0.019662
0.064	-0.003978	-0.007601	-0.107366	-0.039336	-0.005367	0.016911	0.000318	-0.018419
0.0645	-0.003215	-0.003312	-0.092264	-0.045744	-0.0034	0.016051	0.007705	-0.01574
0.065	-0.00079	0.003242	-0.049416	-0.048626	-0.002822	0.019886	0.009781	-0.014607
0.0655	-0.000796	0.008698	-0.026504	-0.045383	-0.002464	0.024786	0.006068	-0.013741
0.066	-0.003812	0.011135	-0.041142	-0.034404	-0.003879	0.025941	-0.000717	-0.012028
0.0665	-0.006098	0.010879	-0.078864	-0.017814	-0.005548	0.015139	-0.00806	-0.011077
0.067	-0.005984	0.008246	-0.110968	0.001058	-0.004751	-0.013286	-0.012792	-0.01054
0.0675	-0.004836	0.003666	-0.116732	0.016948	-0.003266	-0.053458	-0.009575	-0.007309
0.068	-0.003689	-0.001032	-0.097802	0.025708	-0.003172	-0.09382	0.002134	-0.000304
