Time	L_BF	L_VL	R_BF	R_VL
0.000000	0.000417	0.002074	0.007108	-0.004579
0.000500	0.005080	0.006445	0.002554	0.005470
0.001000	-0.000162	-0.002177	-0.001276	-0.001490
0.001500	0.005559	0.001716	-0.002033	-0.002972
0.002000	-0.001650	-0.003321	0.004629	0.001129
0.002500	0.005292	-0.004038	0.002359	0.001202
0.003000	-0.004145	-0.002074	0.004648	-0.007262
0.003500	0.004264	0.002676	0.005437	0.006289
0.004000	-0.001354	-0.002584	-0.001149	0.003530
0.004500	0.002087	-0.000188	0.004315	-0.002708
0.005000	-0.002059	-0.004326	0.001208	-0.006468
0.005500	0.004327	-0.001834	-0.007224	0.002236
0.006000	0.005116	0.003077	0.001466	-0.001573
0.006500	0.001321	0.000059	0.000460	-0.001468
0.007000	-0.001720	0.004401	0.004133	0.000944
0.007500	0.008009	-0.001210	0.005051	0.001867
0.008000	-0.010097	-0.001024	0.001718	0.007609
0.008500	-0.005386	-0.000742	-0.001554	-0.002572
0.009000	0.005768	-0.000050	0.004459	0.001203
0.009500	0.003023	0.002699	-0.003717	-0.006322
0.010000	0.009608	0.001204	0.002090	0.005455
0.010500	-0.001072	0.006798	-0.000666	-0.000464
0.011000	-0.008346	0.005549	-0.005716	0.004915
0.011500	-0.004624	0.001598	-0.000378	0.004406
0.012000	-0.008257	0.008640	-0.009818	-0.002561
0.012500	-0.005785	-0.005294	0.000929	0.000816
0.013000	0.003984	0.002189	0.003693	0.003261
0.013500	0.000959	-0.016816	0.007024	-0.003912
0.014000	-0.005104	0.000316	0.001241	0.003783
0.014500	0.000398	-0.008419	-0.011160	-0.000669
0.015000	0.007143	-0.006688	-0.001258	-0.008289
0.015500	0.001301	0.001237	-0.003804	-0.000396
0.016000	-0.007125	-0.003090	-0.000839	-0.003469
0.016500	-0.007363	-0.002450	0.010202	-0.002933
0.017000	-0.003356	0.001496	-0.004979	0.006180
0.017500	0.013456	-0.005163	0.001543	-0.001570
0.018000	0.007125	0.004074	-0.003545	0.003759
0.018500	-0.000881	-0.002691	0.003587	0.003215
0.019000	-0.004859	0.002826	-0.006346	-0.000373
0.019500	0.001136	-0.007153	-0.004380	0.003478
0.020000	-0.007711	-0.001572	-0.000217	0.000008
0.020500	0.007331	0.001481	0.003320	-0.011149
0.021000	-0.004184	-0.002038	-0.001226	-0.002350
0.021500	0.001951	-0.000568	-0.002727	-0.007783
0.022000	-0.007333	-0.005110	-0.002682	-0.000721
0.022500	-0.003215	0.004373	0.008527	0.002479
0.023000	0.001463	-0.002501	-0.001858	0.000972
0.023500	-0.000107	-0.003409	-0.002937	-0.006338
0.024000	0.002592	-0.006849	0.006034	0.000907
0.024500	0.003568	0.006864	-0.004719	0.000615
0.025000	0.006239	-0.001324	-0.003456	0.002700
0.025500	0.002450	-0.004941	0.005230	-0.003307
0.026000	0.002304	-0.007883	-0.000233	-0.000332
0.026500	-0.004671	0.006091	0.001393	-0.005696
0.027000	-0.004814	-0.002108	-0.006819	-0.004691
0.027500	0.002763	-0.007510	0.007082	0.002770
0.028000	-0.004808	-0.002198	0.005489	0.000432
0.028500	0.001788	-0.002218	-0.009495	-0.007481
0.029000	0.006228	0.000291	0.006147	-0.001595
0.029500	-0.003951	-0.002785	0.005707	0.006055
0.030000	0.004564	0.000259	-0.002851	0.000876
0.030500	0.004765	-0.003785	-0.003603	-0.000098
0.031000	-0.005640	0.002457	-0.010364	0.005446
0.031500	-0.006823	-0.001813	0.014133	0.001344
0.032000	0.003958	0.000212	-0.007091	-0.008730
0.032500	0.000537	-0.000454	0.003282	-0.002504
0.033000	-0.003347	-0.001373	-0.002695	-0.010233
0.033500	0.006684	-0.002169	0.006679	0.006603
0.034000	0.000256	-0.002637	-0.004063	0.009024
0.034500	0.001000	-0.000065	0.004433	-0.000765
0.035000	-0.001034	-0.004802	-0.001564	0.002149
0.035500	0.010442	0.011760	0.001183	-0.003060
0.036000	-0.005633	0.007664	-0.002975	0.001258
0.036500	-0.001623	0.003578	-0.001017	0.009702
0.037000	0.013049	0.001798	-0.003790	0.012843
0.037500	0.003437	0.013421	0.012053	0.001111
0.038000	-0.005213	-0.008736	0.001864	-0.004193
0.038500	-0.003835	-0.001107	0.000016	0.002445
0.039000	0.000064	0.001660	-0.005003	-0.002391
0.039500	-0.003748	-0.000542	0.007013	0.009477
0.040000	-0.002092	-0.007000	0.001217	-0.007290
0.040500	-0.002541	0.009942	-0.002197	-0.000300
0.041000	0.001228	-0.009175	-0.001073	-0.001523
0.041500	-0.001164	-0.002345	0.006503	0.004059
0.042000	-0.000748	0.007541	0.005341	0.003536
0.042500	0.008487	-0.001370	-0.001346	0.006442
0.043000	-0.006478	0.007445	-0.004099	-0.004210
0.043500	-0.006482	-0.002410	-0.005895	0.011153
0.044000	-0.000274	0.008003	-0.003092	0.000266
0.044500	0.008716	0.003990	0.007408	0.004055
0.045000	0.013878	-0.001505	0.004561	-0.010291
0.045500	-0.005284	-0.002843	0.005527	0.007172
0.046000	-0.007934	-0.001675	-0.002160	-0.001550
0.046500	0.007868	-0.001118	-0.006321	-0.001597
0.047000	-0.002070	0.002876	0.006297	-0.001370
0.047500	0.002483	0.000226	-0.004609	0.000380
0.048000	0.006470	-0.004756	0.001951	-0.009776
0.048500	0.001582	-0.009986	0.000525	0.002645
0.049000	0.008421	-0.003629	-0.003638	0.005348
0.049500	-0.005964	0.008740	0.008014	0.000062
0.050000	0.000281	0.004369	0.001554	-0.002165
0.050500	0.002467	0.005519	-0.011872	-0.000177
0.051000	0.002288	0.000379	-0.007360	0.003529
0.051500	-0.005315	-0.015068	-0.002906	-0.003642
0.052000	0.004845	0.002095	0.004287	0.001376
0.052500	-0.002599	-0.008917	-0.000115	0.006932
0.053000	-0.000189	0.003120	-0.000469	-0.003566
0.053500	-0.002824	-0.010310	-0.002772	-0.006453
0.054000	-0.005278	0.002368	0.003179	-0.000454
0.054500	0.007096	0.007154	0.005701	-0.006988
0.055000	-0.004947	-0.000987	-0.001241	0.000963
0.055500	-0.006002	0.004927	-0.002644	0.000075
0.056000	-0.005528	-0.009634	0.004669	-0.003283
0.056500	0.002458	-0.002978	0.003586	0.007527
0.057000	-0.001321	-0.002705	0.002891	0.004931
0.057500	-0.005575	0.002945	0.002616	-0.001395
0.058000	-0.006062	0.004735	0.004390	0.009143
0.058500	0.000723	0.002380	0.003088	-0.002739
0.059000	-0.001348	0.005497	0.011109	0.000179
0.059500	0.004766	-0.004123	-0.000175	0.000009
0.060000	0.002842	-0.002893	-0.003361	-0.000385
0.060500	0.001897	0.002469	0.004746	-0.003622
0.061000	0.003600	0.003824	0.001561	-0.001911
0.061500	0.008451	0.000777	-0.006884	-0.005725
0.062000	-0.008943	0.000722	0.001451	-0.007973
0.062500	-0.005939	-0.001025	0.004808	0.007104
0.063000	0.005796	0.004256	0.001773	-0.003512
0.063500	0.003120	-0.007008	0.001044	-0.005643
0.064000	0.000901	-0.010175	-0.003899	-0.000037
0.064500	0.000041	-0.008940	-0.006012	-0.002678
0.065000	0.002332	-0.002600	0.000335	0.001363
0.065500	-0.000261	0.004494	-0.006348	-0.002273
0.066000	-0.010404	-0.007046	-0.004342	-0.001060
0.066500	0.001873	-0.000445	0.001209	0.002513
0.067000	0.004436	0.008904	0.007990	-0.002985
0.067500	0.011129	-0.009498	-0.003825	0.000178
0.068000	0.007023	0.004579	0.001741	-0.004260
0.068500	0.002021	-0.004898	-0.002429	-0.003282
0.069000	0.001656	-0.002731	-0.008674	0.001146
0.069500	0.000159	-0.005872	0.004167	-0.000808
0.070000	0.006709	-0.001527	-0.005380	-0.000917
0.070500	0.008451	-0.006759	-0.000204	0.007393
0.071000	0.000319	0.003317	0.003670	0.003373
0.071500	-0.003505	0.002186	0.004131	-0.000728
0.072000	-0.000224	-0.011726	-0.005965	-0.004358
0.072500	0.004048	-0.002372	-0.002334	0.003364
0.073000	-0.005179	-0.001188	-0.004295	0.006170
0.073500	0.001033	-0.000110	0.000157	0.000094
0.074000	-0.005166	-0.003313	-0.002736	-0.014242
0.074500	0.006329	-0.000902	0.000142	-0.005878
0.075000	-0.000193	-0.008848	-0.000136	0.001782
0.075500	0.002087	0.003531	0.000241	-0.005521
0.076000	0.003947	0.005731	0.001134	-0.002463
0.076500	-0.004537	-0.002834	-0.005743	-0.001689
0.077000	-0.003879	0.002992	0.009331	-0.000706
0.077500	-0.000413	-0.008334	-0.010267	0.002912
0.078000	0.014569	-0.000802	0.003039	0.003223
0.078500	-0.005099	0.000550	0.007096	-0.001651
0.079000	-0.003733	0.004308	-0.000380	0.001507
0.079500	0.008027	-0.005866	-0.003877	0.001987
0.080000	-0.007959	0.004318	0.000282	0.002764
0.080500	-0.004975	-0.003446	-0.004061	0.002663
0.081000	-0.003140	-0.005260	0.002540	0.002106
0.081500	0.003654	0.011381	-0.007690	0.003170
0.082000	-0.001513	-0.005040	-0.009352	0.008462
0.082500	0.006652	-0.002345	0.006675	-0.001791
0.083000	0.003891	-0.004962	-0.005353	0.000444
0.083500	0.002208	-0.003676	0.007831	0.003986
0.084000	0.001755	0.003855	-0.004504	-0.002192
0.084500	0.000740	-0.002295	-0.005733	-0.016470
0.085000	0.003885	-0.004832	-0.005346	0.003756
0.085500	0.003679	0.001418	-0.005793	-0.002771
0.086000	-0.007031	-0.006432	-0.002924	0.005690
0.086500	0.003995	0.002403	-0.005959	0.013632
0.087000	0.002440	0.008519	-0.008112	-0.002805
0.087500	-0.005776	0.001459	-0.004656	-0.005698
0.088000	0.000574	0.000277	0.001104	0.001298
0.088500	-0.000323	0.003250	0.000427	-0.004218
0.089000	-0.005010	0.002408	-0.001403	0.007185
0.089500	-0.002136	0.005428	-0.000295	0.001113
0.090000	0.014977	0.003357	-0.011124	0.003458
0.090500	0.005068	-0.003655	-0.011980	0.002041
0.091000	0.003210	0.003230	0.008239	-0.000127
0.091500	0.001711	-0.002496	0.006780	0.002737
0.092000	-0.007695	-0.004586	0.003765	-0.006503
0.092500	-0.003494	-0.000069	0.001088	0.003600
0.093000	0.004317	0.002222	0.005281	0.000286
0.093500	-0.003607	-0.006421	-0.001224	-0.009084
0.094000	-0.004020	-0.007922	-0.004522	0.004935
0.094500	0.006211	-0.003360	0.004317	-0.005771
0.095000	0.004092	0.001195	0.003102	-0.001851
0.095500	0.004157	-0.000177	0.010309	0.007180
0.096000	-0.005020	-0.010760	-0.008691	-0.007221
0.096500	-0.002923	-0.007673	0.005263	0.001744
0.097000	-0.003497	0.006634	-0.011495	0.002775
0.097500	0.001215	-0.006996	-0.003050	0.009566
0.098000	0.005181	0.006007	-0.003715	0.007487
0.098500	0.005992	0.003470	0.000473	0.002407
0.099000	0.005816	0.003411	0.004105	0.006628
0.099500	-0.000085	-0.004247	0.007981	0.000552
0.100000	0.005851	0.006432	0.002119	-0.001971
0.100500	-0.001621	-0.003268	-0.000622	0.000010
0.101000	0.002180	-0.005120	-0.001764	0.001091
0.101500	0.004963	0.001505	-0.002089	-0.000295
0.102000	0.006210	-0.001478	0.002991	0.003223
0.102500	0.009005	-0.000197	-0.004711	-0.003954
0.103000	0.006538	-0.004195	0.002230	0.003264
0.103500	0.001017	-0.003090	-0.003515	-0.000995
0.104000	0.000323	-0.006223	-0.002356	0.003333
0.104500	0.004369	0.003996	0.005779	-0.002349
0.105000	0.007543	0.007755	-0.005453	-0.007772
0.105500	-0.003614	-0.006537	0.006313	0.003587
0.106000	-0.001970	0.000934	0.000355	-0.000626
0.106500	0.008883	0.005855	0.002546	-0.004954
0.107000	0.000167	-0.008787	-0.005685	0.008457
0.107500	0.002157	-0.003875	-0.005568	-0.001779
0.108000	-0.001578	0.000339	0.017809	-0.000497
0.108500	0.004275	0.002105	0.001696	0.002912
0.109000	-0.007296	-0.001338	0.010753	0.000968
0.109500	0.002886	0.007514	0.005896	-0.001652
0.110000	-0.004145	-0.002587	0.005503	-0.008478
0.110500	0.002879	0.003022	0.003515	-0.001933
0.111000	-0.003240	-0.000055	0.003591	-0.004223
0.111500	0.001893	-0.014486	-0.003943	0.009537
0.112000	0.007852	-0.008693	-0.009388	0.005934
0.112500	-0.000655	0.000737	0.006622	0.004632
0.113000	-0.014304	-0.005244	0.000415	-0.005861
0.113500	0.001770	-0.001296	0.001559	-0.003156
0.114000	-0.000659	-0.002975	-0.000410	0.001767
0.114500	-0.004422	-0.001015	0.008820	-0.013805
0.115000	-0.002440	0.004523	0.006977	0.003349
0.115500	0.001306	0.009751	0.005664	-0.001558
0.116000	0.003887	-0.000762	0.004709	-0.009392
0.116500	0.003245	-0.003133	-0.004587	0.003705
0.117000	0.002018	-0.005618	-0.005887	-0.004098
0.117500	-0.000745	-0.007113	-0.000543	0.000863
0.118000	0.009461	-0.002571	0.001207	-0.000364
0.118500	0.003782	0.003615	0.007082	-0.000125
0.119000	0.001235	-0.010414	-0.003357	-0.000973
0.119500	0.001111	-0.006323	0.005958	0.004745
0.120000	0.001967	-0.003401	-0.000232	0.004248
0.120500	-0.000864	0.002461	-0.008842	0.005357
0.121000	-0.006331	0.002526	-0.000877	-0.006166
0.121500	-0.009431	0.005369	-0.004985	0.003812
0.122000	-0.006931	-0.000138	-0.012350	0.012224
0.122500	-0.001481	0.000861	0.004942	0.003580
0.123000	-0.000573	-0.003569	-0.008564	0.007004
0.123500	-0.003565	0.002757	-0.000213	0.005903
0.124000	-0.003745	-0.018733	0.000837	0.003145
0.124500	0.000011	-0.006126	0.003787	0.001881
0.125000	-0.000285	0.002525	0.005825	-0.003020
0.125500	0.004124	-0.002813	-0.002435	0.005075
0.126000	0.004291	-0.003345	-0.000614	-0.000340
0.126500	0.001041	-0.000357	0.012701	-0.001380
0.127000	0.003022	0.009305	0.001456	-0.003834
0.127500	0.000848	0.007345	0.003236	0.000231
0.128000	0.002678	-0.004938	-0.001672	0.005579
0.128500	0.004317	-0.003833	0.005443	-0.003441
0.129000	-0.000773	0.004090	-0.007029	-0.002341
