Time	RASISX	RASISY	RASISZ	LASISX	LASISY	LASISZ	RPSISX	RPSISY	RPSISZ	LPSISX	LPSISY	LPSISZ	RTROCX	RTROCY	RTROCZ	LTROCX	LTROCY	LTROCZ	RTH1X	RTH1Y	RTH1Z	RLKX	RLKY	RLKZ	RMKX	RMKY	RMKZ	RSK1X	RSK1Y	RSK1Z	RLAX	RLAY	RLAZ	RMAX	RMAY	RMAZ	RFM1X	RFM1Y	RFM1Z	RFM2X	RFM2Y	RFM2Z	RFM5X	RFM5Y	RFM5Z	LTH1X	LTH1Y	LTH1Z	LLKX	LLKY	LLKZ	LMKX	LMKY	LMKZ	LSK1X	LSK1Y	LSK1Z	LLAX	LLAY	LLAZ	LMAX	LMAY	LMAZ	LFM1X	LFM1Y	LFM1Z	LFM2X	LFM2Y	LFM2Z	LFM5X	LFM5Y	LFM5Z
0	590.364	-1213.294	931.019	336.169	-1202.405	940.407	500.47	-1393.089	976.531	414.671	-1388.465	973.74	609.896	-1323.27	874.502	282.66	-1281.866	876.791	545.523	-1194.305	709.313	581.927	-1328.345	453.691	474.765	-1332.699	447.11	586.403	-1436.469	210.958	546.203	-1490.359	52.525	461.255	-1454.999	63.545	486.772	-1310.696	0.019	543.179	-1317.915	14.109	593.693	-1365.762	-11.385	365.512	-1121.772	700.939	294.47	-1154.575	483.617	414.88	-1136.896	466.682	280.367	-1090.086	229.708	309.455	-1024.548	68.055	395.598	-1015.182	97.66	387.387	-859.954	64.918	327.789	-845.924	95.318	286.782	-884.834	45.279
0.005	590.465	-1207.051	930.214	336.354	-1195.761	939.299	499.947	-1386.701	975.269	414.094	-1381.897	972.585	609.733	-1316.986	873.561	282.457	-1275.04	875.5	545.711	-1188.38	707.956	581.944	-1324.351	453.185	474.276	-1328.619	446.863	586.203	-1434.604	211.268	546.112	-1489.986	53.485	461.19	-1454.403	63.964	486.438	-1310.885	-0.005	543.207	-1317.718	13.931	593.659	-1365.825	-11.405	366.322	-1116.748	698.472	293.86	-1148.343	482.774	415.185	-1131.924	465.491	279.591	-1079.956	229.803	309.348	-1011.784	69.254	395.243	-1003.336	99.145	389.35	-847.969	68.887	329.633	-833.378	98.769	288.835	-870.904	47.65
0.01	590.528	-1200.699	929.376	336.204	-1188.945	938.178	499.418	-1380.098	974.066	413.532	-1375.365	971.455	609.677	-1310.676	872.778	282.214	-1268.149	874.339	546.171	-1182.551	707.187	582.012	-1320.272	453.03	474.263	-1324.316	446.106	586.034	-1432.575	211.782	546.099	-1489.537	54.514	461.162	-1453.538	64.575	486.498	-1310.786	-0.022	543.205	-1317.503	13.765	593.806	-1366.458	-11.336	367.463	-1111.351	696.476	293.575	-1141.402	481.568	415.272	-1126.846	464.215	279.457	-1070.331	229.915	309.399	-999.768	70.079	395.051	-992.58	100.432	391.201	-836.713	72.351	331.934	-821.716	101.484	290.796	-857.958	49.571
0.015	590.334	-1194.246	928.377	336.376	-1182.401	937.162	498.917	-1373.632	972.966	413.058	-1368.871	970.394	609.453	-1304.345	871.876	282.04	-1261.223	873.178	546.411	-1176.473	705.804	581.861	-1315.914	452.079	474.19	-1319.813	445.413	585.807	-1430.131	211.746	546.06	-1489.116	55.507	461.14	-1452.885	65.26	486.692	-1310.553	-0.068	543.238	-1317.271	13.634	593.819	-1366.428	-11.229	368.729	-1105.422	694.741	293.136	-1134.416	480.978	415.429	-1121.443	463.384	279.296	-1061.452	229.999	309.37	-988.736	70.766	395.028	-982.643	101.612	393.38	-826.386	75.584	333.828	-810.953	104.052	292.704	-845.965	51.275
0.02	590.142	-1187.703	927.524	336.351	-1175.731	935.876	498.659	-1366.912	971.738	412.595	-1362.342	969.383	609.346	-1297.945	870.993	281.052	-1254.124	872.456	546.81	-1170.434	705.05	581.962	-1311.414	451.783	473.936	-1315.423	445.128	585.63	-1428.15	212.457	546.08	-1488.38	56.477	461.099	-1452.118	65.871	486.895	-1310.362	-0.081	543.321	-1317.04	13.502	593.818	-1366.499	-11.293	370.051	-1099.264	693.779	293.155	-1126.838	480.058	415.39	-1115.886	462.692	279.4	-1053.11	229.366	309.686	-978.612	70.913	395.097	-973.145	101.76	395.263	-817.295	78.342	335.783	-801.531	106.444	294.359	-834.868	52.805
0.025	590.092	-1181.104	926.965	336.13	-1169.229	934.992	498.26	-1360.337	970.675	412.194	-1355.905	968.303	609.192	-1291.461	870.142	280.793	-1247.234	871.227	547.105	-1164.202	704.034	582.011	-1306.964	451.521	473.754	-1310.642	444.414	585.499	-1425.777	213.113	546.151	-1487.574	57.24	461.105	-1451.33	66.693	487.039	-1310.22	-0.062	543.397	-1316.774	13.363	593.828	-1366.425	-11.265	371.348	-1092.731	693.527	292.64	-1119.321	480.17	414.992	-1109.515	462.609	279.417	-1045.57	228.944	309.911	-969.469	70.71	395.203	-964.783	101.801	397.014	-809.061	80.495	337.304	-793.014	107.967	296.138	-825.215	54.176
0.03	589.872	-1174.611	926.037	335.982	-1162.694	933.929	497.875	-1353.825	969.705	411.84	-1349.491	967.219	609.109	-1285.012	869.296	280.279	-1240.415	870.398	547.21	-1158.225	703.068	581.917	-1302.117	450.514	473.652	-1305.68	443.914	585.25	-1423.302	213.623	546.239	-1486.725	58.291	461.195	-1450.43	67.493	487.199	-1310.083	-0.037	543.464	-1316.525	13.251	593.795	-1366.407	-11.26	372.582	-1085.667	693.893	292.747	-1111.169	479.558	414.108	-1102.319	462.463	279.546	-1038.304	227.804	310.217	-961.424	70.342	395.593	-957.378	101.318	398.582	-801.875	81.908	338.845	-785.22	109.081	297.971	-816.453	54.35
0.035	589.493	-1167.915	925.236	335.435	-1156.186	933.206	497.535	-1347.122	968.624	411.404	-1342.99	966.123	608.956	-1278.353	868.523	279.773	-1233.541	869.399	547.529	-1151.892	701.964	582.124	-1297.309	450.462	473.864	-1300.144	442.975	585.009	-1420.749	214.058	546.321	-1485.881	59.525	461.289	-1449.535	68.334	487.313	-1310.032	0.032	543.593	-1316.246	13.18	593.778	-1366.441	-11.185	373.327	-1078.696	694.729	292.741	-1103.167	479.557	413.446	-1094.239	462.356	279.655	-1031.585	227.045	310.514	-954.166	69.448	395.927	-950.523	100.074	400.054	-795.426	82.191	340.29	-778.611	109.43	299.299	-809.036	54.358
0.04	589.117	-1161.26	924.426	335.076	-1149.666	932.158	497.734	-1339.392	967.206	411.072	-1336.582	965.03	609.044	-1272.165	868.042	278.974	-1226.734	868.696	547.683	-1145.759	701.406	581.834	-1292.184	449.43	473.262	-1295.236	443.005	584.786	-1417.964	214.823	546.518	-1485.201	61.195	461.343	-1449.068	69.863	487.449	-1309.934	0.126	543.709	-1316.001	13.065	593.764	-1366.405	-11.28	373.903	-1072.961	695.454	292.622	-1095.037	479.231	412.431	-1085.461	462.308	279.702	-1024.614	225.772	310.725	-947.786	68.262	396.29	-944.521	99.143	401.439	-789.7	81.505	341.739	-772.635	108.816	300.351	-802.408	53.49
0.045	588.761	-1154.557	923.929	334.462	-1143.04	931.6	496.858	-1333.87	966.719	410.723	-1330.028	964.02	608.969	-1265.621	867.231	278.456	-1219.884	867.836	547.753	-1139.411	700.279	582.004	-1286.901	449.288	473.284	-1289.489	442.004	584.556	-1415.116	215.557	546.744	-1484.521	62.938	461.528	-1448.035	70.898	487.644	-1309.848	0.239	543.873	-1315.723	12.973	593.752	-1366.337	-11.234	373.705	-1065.428	696.691	292.545	-1087.087	478.979	411.263	-1076.162	462.464	280.043	-1017.647	224.37	311.075	-942.046	66.829	396.663	-938.92	97.413	402.662	-784.443	79.519	342.989	-767.055	106.932	301.267	-796.731	51.685
