Time	RASISX	RASISY	RASISZ	LASISX	LASISY	LASISZ
0.000	636.928	658.048	611.383	572.011	545.232	606.070
0.005	638.452	656.915	611.240	572.281	544.404	604.765
0.010	636.989	657.357	611.996	572.076	545.234	605.415
0.015	637.498	658.513	611.119	571.352	544.035	606.042
0.020	637.260	657.902	611.225	571.856	545.075	605.055
0.025	636.698	656.657	610.575	571.286	544.715	606.390
0.030	638.229	657.632	610.567	571.809	545.674	606.054
0.035	637.213	656.808	611.630	571.931	544.425	606.167
0.040	637.504	657.870	611.842	571.929	544.707	606.268
0.045	637.425	656.356	611.660	571.927	544.729	606.614
0.050	637.110	656.065	612.000	572.265	543.982	607.335
0.055	638.027	657.262	610.691	570.678	543.728	607.034
0.060	636.621	656.479	612.111	570.686	544.560	606.317
0.065	636.744	657.290	612.038	570.330	544.128	606.245
0.070	637.384	656.446	611.277	571.311	545.189	607.122
0.075	636.968	655.935	611.866	571.327	544.477	606.692
0.080	638.160	656.695	611.861	571.507	545.190	606.979
0.085	637.742	657.504	611.307	570.930	544.318	607.872
0.090	637.729	657.512	611.444	570.780	545.839	607.352
0.095	637.731	657.622	611.412	570.143	544.551	607.406
0.100	637.707	657.417	612.002	570.933	544.388	607.913
0.105	637.501	656.043	611.183	570.866	544.342	608.274
0.110	637.268	657.011	612.056	570.657	544.414	607.710
0.115	637.626	656.053	612.972	570.520	544.950	606.876
0.120	637.092	656.341	611.530	571.003	543.309	608.127
0.125	636.817	656.900	612.400	570.703	545.075	607.939
0.130	638.170	657.312	612.721	570.296	543.965	607.783
0.135	638.537	656.506	612.036	570.038	545.096	607.387
0.140	637.563	656.711	612.010	570.341	543.821	608.366
0.145	637.126	656.143	612.170	570.701	546.155	607.676
0.150	637.789	656.989	612.334	571.013	544.579	608.958
0.155	637.081	656.953	612.012	570.286	544.039	607.895
0.160	637.325	655.887	611.749	570.418	545.078	608.596
0.165	638.626	655.669	612.645	570.827	545.588	608.380
0.170	637.588	656.407	610.664	570.847	544.569	607.950
0.175	637.616	655.585	612.134	570.987	545.188	608.330
0.180	638.965	656.560	612.634	571.128	545.647	608.215
0.185	638.607	655.311	611.767	570.818	544.338	607.994
0.190	638.234	655.159	612.266	570.641	544.402	608.066
0.195	638.631	655.361	612.481	570.679	545.156	607.962
0.200	638.806	656.119	611.752	569.758	545.290	608.153
0.205	638.771	655.580	611.916	570.634	545.268	607.814
0.210	638.396	656.541	611.942	570.148	545.193	608.233
